quick_name,quick_slug,quick_url,quick_address,quick_address_line1,quick_postal_code,quick_city,quick_phone,quick_latitude,quick_longitude,quick_halal_status,quick_halal_certifier,quick_halal_evidence,top_halal_restaurant_id,top_halal_legacy_wp_id,top_halal_name,top_halal_address_line1,top_halal_postal_code,top_halal_city,top_halal_phone,top_halal_latitude,top_halal_longitude,match_status,match_score,differences,proposed_actions,checked_at
"Quick Melun Boissénart",melun-boissenart,https://www.quick.fr/restaurants/melun-boissenart,"CC BOISSENART, 21 RUE MAISONEMENT, 77240 CESSON","CC BOISSENART 21 RUE MAISONEMENT",77240,CESSON,,48.585262,2.602134,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Etampes",etampes,https://www.quick.fr/restaurants/etampes,"ZAC du Plateau de Guinette, 91150 ETAMPES","ZAC du Plateau de Guinette",91150,ETAMPES,,48.441337,2.13757,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Clermont-Ferrand",clermont-ferrand,https://www.quick.fr/restaurants/clermont-ferrand,"42 AVENUE DES ETATS UNIS, 63000 CLERMONT-FERRAND","42 AVENUE DES ETATS UNIS",63000,CLERMONT-FERRAND,,45.778036,3.081509,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",1605,15062,"Snack Saint Dô","36 rue Saint-Dominique",63000,Clermont-Ferrand,,45.7784202,3.0793881,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Rosny DI 2",rosny-di-2,https://www.quick.fr/restaurants/rosny-di-2,"220 BOULEVARD D'ALSACE LORRAINE, 93110 ROSNY-SOUS-BOIS","220 BOULEVARD D'ALSACE LORRAINE",93110,ROSNY-SOUS-BOIS,,48.882729,2.493279,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",5862,19335,"quick halal rosny sous bois 93","210 Boulevard Alsace-Lorraine",93110,Rosny-sous-Bois,"01 48 54 89 74",48.8830780,2.4913408,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Garges Les Gonesses",garges-les-gonesses,https://www.quick.fr/restaurants/garges-les-gonesses,"Av. de Stalingrad, 95140 GARGES-LES-GONESSE","Av. de Stalingrad",95140,GARGES-LES-GONESSE,,48.972874,2.419717,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",2352,15811,"quick hallal garges les gonesse","Avenue de Stalingrad",95140,Garges-lès-Gonesse,"01 39 93 71 68",48.9728733,2.4197174,MATCH_PROBABLE,80,"name,address",UPDATE_NAME|UPDATE_ADDRESS,2026-09-07T19:21:59+02:00
"Quick Créteil Pompadour",creteil-pompadour,https://www.quick.fr/restaurants/creteil-pompadour,"4 rue de la Haute Quinte - Carrefour Pompadour, 94000 CRETEIL","4 rue de la Haute Quinte - Carrefour Pompadour",94000,CRETEIL,,48.773138,2.440222,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",1900,15359,"quick halal creteil pompadour","4 Rue de la Haute Quinte",94000,Créteil,"01 43 77 27 10",48.7734586,2.4410987,MATCH_UPDATE,100,address,UPDATE_ADDRESS,2026-09-07T19:21:59+02:00
"Quick Chelles",chelles,https://www.quick.fr/restaurants/chelles,"CENTRE COMMERCIAL CHELLES, 2 AVENUE DU GENDARME CASTERMAND, 77507 CHELLES","CENTRE COMMERCIAL CHELLES 2 AVENUE DU GENDARME CASTERMAND",77507,CHELLES,,48.877661,2.614075,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",1543,14999,"quick hallal chelles 2","2 Avenue du Gendarme Castermant",77500,Chelles,"01 64 26 72 78",48.8775336,2.6138134,MISSING_TOP_HALAL,60,"name,address,postal_code",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Lille Loos",lille-loos,https://www.quick.fr/restaurants/lille-loos,"Centre Commercial Match 92, Rue Georges Potie,, 59120 LOOS","Centre Commercial Match 92, Rue Georges Potie,",59120,LOOS,,50.613052,3.003047,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Beausevran",beausevran,https://www.quick.fr/restaurants/beausevran,"Centre Commercial  Beausevran - Porte 1, PORTE 1, 93270 SEVRAN","Centre Commercial  Beausevran - Porte 1 PORTE 1",93270,SEVRAN,,48.9495,2.528773,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Reims Château d'eau",reims-chateau-d-eau,https://www.quick.fr/restaurants/reims-chateau-d-eau,"ANGLE AVENUE DU GAL BONAPARTE ET AVENUE EPERNAY, 51100 REIMS","ANGLE AVENUE DU GAL BONAPARTE ET AVENUE EPERNAY",51100,REIMS,,49.227489,4.013314,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
